MSRP;sedan;hatch;convert;minivan;miniSUV;SUV;wagon;subcom;compact;fullsize;luxury;sport;city;high;length;width;height;weight;luggage;horse;Cyl;Disp;fuel;AWD;FWD;4WD
31945;0;0;0;0;0;1;0;0;0;0;0;0;16;20;182,6;70,7;67,2;4180;35,2;230;6;3,5;19,5;0;0;1
25695;0;0;0;0;0;1;0;0;0;0;0;0;17;21;177,5;70,4;69,4;3923;33;205;6;3,2;20;0;0;0
31300;0;0;0;0;0;1;0;0;0;0;0;0;15;19;187,8;72,2;72,2;4273;43,7;215;6;3,5;22,5;0;0;0
27635;0;0;0;0;0;1;0;0;0;0;0;0;14;19;181,6;72,6;70,3;3863;39;235;8;4,7;20,5;0;0;0
23815;0;0;0;0;0;1;0;0;0;0;0;0;16;20;174,2;71,1;73,2;4115;29;210;6;3,7;18,5;0;0;1
36357;0;0;0;0;0;1;0;0;0;0;0;0;13;18;189,2;74;71,5;4735;39,8;200;6;3,5;23,8;0;0;1
23337;0;0;0;0;0;1;0;0;0;0;0;0;18;22;181,1;66,7;67,6;3835;43,4;165;6;3;19,5;0;0;0
29539;0;0;0;0;0;1;0;0;0;0;0;0;16;19;182,7;71,7;70,9;3985;38;240;6;3,5;21,1;0;0;0
25739;0;0;0;0;0;1;0;0;0;0;0;0;16;18;178;70,4;74;4115;44,5;170;6;3,3;19,4;0;0;1
32840;0;0;0;0;0;1;0;0;0;0;0;0;16;22;191,8;75,4;74,5;4442;39,8;270;6;4,2;18,7;0;0;0
20870;0;0;0;0;0;1;0;0;0;0;0;0;19;26;182,1;73,7;66,7;3779;45,4;185;6;3,4;18;0;1;0
25619;0;0;0;0;0;1;0;0;0;0;0;0;17;20;183,6;70,1;67,5;3626;6,6;183;6;2,7;16,9;0;0;0
33965;0;0;0;0;0;1;0;0;0;0;0;0;17;19;183,3;70,9;68,5;3795;44,6;183;6;3,4;18,5;0;0;0
31305;0;0;0;0;0;1;0;0;0;0;0;0;18;22;184,4;71,9;68,7;3880;38,5;220;6;3;19,8;1;0;0
24825;0;0;0;1;0;0;0;0;0;0;0;0;15;20;189,8;77,5;75;4323;41,3;190;6;4,3;27;0;0;0
26995;0;0;0;1;0;0;0;0;0;0;0;0;18;24;200,6;78,6;68,9;4275;17,8;215;6;3,8;20;0;1;0
17095;0;0;0;1;0;0;0;0;0;0;0;0;18;24;189,1;78,6;68,9;3869;15,1;150;4;2,4;20;0;1;0
30520;0;0;0;1;0;0;0;0;0;0;0;0;18;24;200,5;78,6;68,9;4238;20;215;6;3,8;20;0;1;0
24825;0;0;0;1;0;0;0;0;0;0;0;0;15;20;189,8;77,5;75;4323;41,3;190;6;4,3;27;0;0;0
27210;0;0;0;1;0;0;0;0;0;0;0;0;18;25;201,2;75,6;69,7;4354;38,1;240;6;3,5;20;0;1;0
21590;0;0;0;1;0;0;0;0;0;0;0;0;15;20;194,1;74,6;69,3;4709;21,8;195;6;3,5;19,8;0;1;0
22770;0;0;0;1;0;0;0;0;0;0;0;0;18;24;187,8;72,1;68,7;3794;17,2;200;6;3;19,8;0;1;0
